topic,file,gold
JOHNY DEPP,JOHNY DEPP_A,হলিউড অভিনেতা জনি ডেপ এবং তার প্রাক্তন স্ত্রীর পাল্টাপাল্টি মানহানির মামলায় উঠে এসেছে । ২০১৫ পর থেকে দুজনের সম্পর্কে চরম অশান্তির উঠে এসেছিল । ২০১৭ তে বিচ্ছেদের পর জনি ডেপ  ৫০ মিলিয়ন ডলারে ক্ষতিপূরণ চেয়ে তিনটি মামলা করেন। এছাড়া অ্যাটর্নি ফ্রি ও আদালতের খরচ মিলিয়ে তিন লাখ পঞ্চাশ হাজার ডলারের শাস্তি মূলক পুরস্কার চেয়েছেন ।  অন্যদিকে ডেপের বিরুদ্ধে ১০০ মিলিয়ন ডলারের একটি পাল্টা মামলা করেছেন হার্ড।ডেপর বিরুদ্ধে শারীরিক মানসিক এবং যৌন নির্যাতনের অভিযোগ আনেন হার্ড। এদিকে ডেপদাবি করেন তিন বছরের কোন গায়ে হাত তোলেন নি বা যৌন নির্যাতন বরং অনেকবার তর্কাতর্কির সময় তার সঙ্গে সহিংস আচরণ করেছেন। হার্ট বলেন সূত্রপাত হয়েছিল একটি ট্যাটু থেকে বেশ করেছি নাকি।  ট্যাটুতে কি লেখা আছে উত্তরের ডেপ বলেছেন উইনো  তা শুনে হেসে ফেলেছিলেন হার্ড ভেবেছিলেন এটা হয়তো কোন কৌতুক এরপরই নাকি  ডেপ  হার্ডকে চড় মারে  এবং তার হাত থেতলে যায়।  বিচ্ছেদের এক বছর পর  ওয়াশিংটন পোস্টে লিখেছিলেন। সর্বশেষ  ডেপ ও তার প্রাপ্তন স্ত্রী কেসের সাক্ষ্য গ্রহণের চোদ্দতম  দিনে এই সাক্ষ্য দিলেন হার্ড।  এগুলো সব কিছুই ডেপ অস্বীকার করছেন।
JOHNY DEPP,JOHNY DEPP_B,মানহানি মামলায় জনি দেব এর কাছে হেরে গেছেন অ্যাম্বার হার্ড ।আদালত এই অভিনেত্রীকে জরিমানা বাবদ ১০ মিলিয়ন ৩৫০ হাজার মার্কিন ডলার দেওয়া নির্দেশ দেন । এদিকে বিভিন্ন গণমাধ্যমে শোনা যাচ্ছে জনিদেবের সাথে তিনি গোপনেদেখা করছেন জরিমানার অংক কমাতে অনুরোধ করছেন। তবে শেষ পর্যন্ত রাজি হননি ডেপ ২০০৯ সালে জনি ডেপ ও আম্বার হার্ড এর পরিচয় এবং ২০১৪ সালের মেট গালাতে বাগদান সারেন  ।তারা দুজন পরের বছর ঘরোয়া ভাবে আনুষ্ঠানিকতা সম্পন্ন করেন । এত তিক্ততার পর ও সাবেক স্ত্রী হার্ড  এর বিরুদ্ধে কোন বাজে মন্তব্য করতে চাননা।  ডেপ মামলা জয়ের পর বেশ ফুরফুরে মেজাজে আছেন । ডেপ বর্তমানে তিনি বিভিন্ন বেনু ইংরেজি গিটারিস্ট সঙ্গে পারফর্ম করছেন । জনি আগামী বছরের ট্যুরে যেতে মুখে আছেন যদিও তার হাতে এখন অনেক কাজ জমে গেছে । তারপরও তিনি এতে খুশি এবং সময়টাকে জীবনের নতুন অধ্যায় মনে করছেন কারণ গত কয়েক বছরের ধুর ঝামেলা ও দুশ্চিন্তা থেকে মুক্তি পাওয়ার পর সঙ্গীতকেই উপভোগ করছেন।  তার আলোচিত ক্যাপ্টেন জ্যাক স্প্যার হিসেবে ফিরতে চান না ডেপ জনি ডেপকে ফেরাতে এই চলচ্চিত্র সিরিজে ৩০১ মিলিয়ন ডলারের লোভনীয় প্রস্তাব পাঠিয়েছিল প্রতিষ্ঠানটি।  কিন্তু ফেরাতে পারেনি আদালতে শুনানি চলাকালেও হার্ড  এর  আইনজীবীকে বলেছিলেন এ পৃথিবীর কোন কিছুই কি ফেরাতে পারবে না এই ভূমিকায় ।
JONGI_CHINTAI,JONGI_CHINTAI_A,"আদালত প্রাঙ্গণে পুলিশের উপর পেপারস্প্রে নিক্ষেপ করে দুই জঙ্গিকে ছিনতাই করেছে অন্য জঙ্গিরা।পুলিশ ধারনা করছে জঙ্গিরা গত ছয়মাস যাবৎ এই পরিকল্পনা করছে যদিও তাদের টার্গেট চার জন জঙ্গিকে উদ্ধার করা হলেও তারা মাত্র দুইজনকে উদ্ধার করতে পেছে।পালিয়ে যাওয়া দুই জঙ্গি সদস্য হলেন মইনুল হাসান শামীম ওরফে সিফাত সামির ও মো. আবু ছিদ্দিক সোহেল ওরফে সাকিব।তারা জাগৃতি প্রকাশনীর প্রকাশক ফয়সল আরেফিন দীপন এবং লেখক ও ব্লগার অভিজিৎ রায় হত্যা মামলার মৃত্যুদণ্ডপ্রাপ্ত আসামি।এই ঘটনায় দেশের সকল থানায় এই জঙ্গিদের ছবি পাঠিয়ে দেওয়া হয়েছে এবং সকল আঈনশৃংখলা রক্ষাকারি বাহিনিকে সতর্ক থাকার নির্দেশ দিয়া হয়েছে বলে জানিয়েছেন।আদালত থেকে জঙ্গি ছিন্তাই এর ঘটনায় একজনকে আটক করা হয়েছে বলে জানিয়েছেন সিটিটিসি এর এক সদস্য।নাম না জানানোর শর্তে তিনি বলেন আটককৃত মেহেদী হাসান অমি ওরফে রাফি (২৪) আনসার আল ইসলামের সামরিক শাখার সদস্য।""কখনো বলিনি, দেশে জঙ্গিদের মূল উৎপাটন করেছি আমরা। শুধু আমাদের দেশ নয়, জঙ্গিবাদ একটি বৈশ্বিক সমস্যা। দেশে জঙ্গিবাদ আমরা নিয়ন্ত্রণে এনেছি"" এক সন্ত্রাস, জঙ্গিবাদ ও মাদকবিরোধী সমাবেশে প্রধান অতিথির বক্তব্যে এসব কথা বলেন স্বরাষ্ট্রমন্ত্রী। মেহেদী নিষিদ্ধঘোষিত জঙ্গি সংগঠন আনসার আল ইসলামের প্রধান সমন্বয়ক হিসেবে দায়িত্ব পালন করে আসছিলেন। এক সংবাদ সম্মেলনে ঢাকা মহানগর পুলিশের (ডিএমপি) কাউন্টার টেররিজম অ্যান্ড ট্রান্সন্যাশনাল ক্রাইম (সিটিটিসি) ইউনিটের প্রধান অতিরিক্ত পুলিশ কমিশনার মো. আসাদুজ্জামান এসব কথা বলেন।"
JONGI_CHINTAI,JONGI_CHINTAI_B,আদালতের ফটক থেকে জঙ্গি ছিনতাই এর ঘটনায় আটক মেহেদী হাসান অমি ওরফে রাফিকে (২৪) সাত দিনের রিমান্ডে দিয়েছে আদালত।পুলিশ দশ দিনের রিমান্ডে আবেদন করলেও দুই পক্ষের শুনানি শেষে ঢাকার চিফ মেট্রোপলিটন ম্যাজিস্ট্রেট (সিএমএম) আদালত এই আদেশ দেন।সিটিটিসি এর তথ্যমতে এই মেহেদি হাসান জঙ্গি ছিনতাই এ সক্রিয় ভাবে জরিত।সে আনসার আল ইসলামের সামরিক শাখার সদস্য।এছারাও এই একই ঘটনায় ইতিপূর্বে ১০জনের ১০দিনের রিমান্ডের আবেদন মঞ্জুর করেছে আদালত।আদালত থেকে জঙ্গি ছিনতাই এর ঘটনায় রিমান্ডে নেওয়া আসামি মেহেদি হাসান কে জিঙ্গাসাবাদে ছিনিয়ে নেওয়া দুই জঙ্গি সম্পর্কে কোন তথ্য পাওয়া যায়নি।এছারাও এই ঘটনায় পুলিশ সদস্য নূরে এ আজাদ সাময়িক বরখাস্ত করা হয়েছে।এই ছিনতাই এর ঘটনার পর তিনি হাসপাতালে ভর্তি ছিলেন কাজে যোগ দেওয়ার পরেই তাকে সাময়িক বরখাস্ত করা হয়।এই ঘটনায় আরো পাঁচ পুলিশ সদস্যকে বরখাস্ত করা হয়।এরপর ইদি আমিন নামের এক আসামি ইতিমধ্যে আত্মসমর্পন করেছে এবং পুলিশের আবেদনের প্রেক্ষিতে তাকে চার দিনের রিমান্ডের আদেশ দিয়েছে ঢাকার চিফ মেট্রোপলিটন ম্যাজিস্ট্রেট (সিএমএম) আদালতের অ্যাডিশনাল চিফ মেট্রোপলিটন ম্যাজিস্ট্রেট তোফাজ্জল হোসেন।
META FACEBOOK,META FACEBOOK_A,"ফেসবুকের নাম পরিবর্তন ব্যাপারে অনেকে তাদের মতামত প্রকাশ করেছেন। দা ভার্জ ফেসবুকের নাম পরিবর্তন ব্যাপারে প্রথম পরিকল্পনা প্রকাশ করেন। অনেকে অনেক নামের ধারণা দেয় কেউ বলে ""দা ফেসবুক"" রাখতে কেউবা ""এফবি""। ফেসবুকের সাবেক কর্মকর্তা সমিদ চক্রবর্তী ""মেটা"" নামের প্রস্তাব দিয়েছেন। মেটা ডট কমে ঢুকলে মেটা ডট অর্গ ওয়েবসাইটে নিয়ে যান।  মেটাভার্স হল এক ভার্চুয়াল দুনিয়া। এই ভার্চুয়াল ব্রহ্মাণ্ডে মানুষ সব কাজই করতে পারবেন ভার্চুয়ালি। সেই মেটাভার্সের কথা মাথায় রেখেই এই নামবদল ফেসবুকের। ফেসবুকের নাম পরিবর্তনের আর একটি কারণ হলো সিলিকন ভেলি প্রতিষ্ঠান গুলো সংক্ষিপ্ত নাম পছন্দ করে। ২০১৭ সালে মেটা নামের প্রতিষ্ঠানটি অধিগ্রহণ করেন চ্যান জাকারবার্গ ইনিশিয়েটিভ। তাদের ওয়েবসাইটের  মেটা ডট ‌অগের মাধ্যমে প্রতিষ্ঠানটির কৃত্রিম বুদ্ধিমত্তা উন্নয়ের কাজ চলছে। ফেসবুকের নাম পরিবর্তন করে ""মেটা"" নাম রাখা ইসরাইলের হিব্রু ভাষাভাষীরা মানতে পারছে না। কারণ মৃতের হিব্রু প্রতিশব্দের উচ্চারণ কিছুটা মেটা এর মতোন। ফেসবুক বাদেও আরো কিছু প্রতিষ্ঠান তাদের নাম পরিবর্তন করেছেন । যেমন : বিলাস বহুল গাড়ির নির্মাতা রলস রয়েস তাদের সিলভার মিস্টার নাম পরিবর্তন করে সিলভার সেডো রেখেছে। কারণ জার্মান ভাষায় মিস্ট মনে বিষ্ঠা। রয়টার্স প্রতিবেদনে বলা হয়েছে মেটার নাম পরিবর্তন হলে কানাডার নোভা স্কয়ার হলিফ্যাক্সের মেটা মেটেরিয়ালতাদের শেয়ারের দাম বাড়ায় দিবে। মেটা মেটেরিয়ালসের সিইও জর্জ পালিকারাস ঠাট্টা করে টুইটারে লিখেছেন মেটা ম্যাটেরিয়ালস থেকে ফেইসবুকে আন্তরিকভাবে মেটা ভার্সে স্বাগত জানাই।"
META FACEBOOK,META FACEBOOK_B,মার্ক জাকারবার্গ ফেসবুকের নাম পরিবর্তন করে মেটা দেওয়ার সিদ্ধান্ত নেন ভার্চুয়াল সম্মেলনে। ১০হাজার কর্মী নিয়োগ করা হবে যাদের কাজ হবে মেটাভার্স তৈরি করা। মেটাভার্সের মাধ্যমে সবাই কথোপকথন সহ যেকোনো সুবিধা নিতে  পারবে। ফেসবুকের নাম পরিবর্তন নিতে অনেক সমালোচনার মধ্যে ও পড়তে হয়েছে যেমনটি করেছে ফেসবুকের সাবেক কর্মী হাউগেন তিনি বলেছেন ফেসবুক মুনাফার উপর বেশি গুরুত্ব দেয়।ফেসবুকের খরচ কমাতে ব্যাপক কর্মকর্তা ছাঁটাইয়ের কথা জানিয়েছেন। মার্ক জাকারবার্গ এক ব্লগ পোস্টে জানিয়েছেন যে ফেসবুকের ১৩ শতাংশ কর্মী ছা‌‌টাই করবেন। ২০০৪ সালে ফেসবুক প্রতিষ্ঠানের পর এই প্রথম বাজেট ছাঁটাই করা হবে। কর্মী ছাঁটাই করার পূর্বে ৮৭ হাজার কর্মী ছিল। যেসব কর্মী ছাঁটাই করা হবে তাদের কে ১৬ সপ্তাহের মূল বেতন সহ প্রতিবছর হিসেবে ২সপ্তাহের বাড়তি বেতন দেওয়া হবে। কর্মী ছাঁটাইয়ের মতোন উদ্যোগ টুইটার বাদে মাইক্রোসফটের মতোন প্রতিষ্ঠানও নিয়েছে।
NATIONAL_GRID,NATIONAL_GRID_A,"২৩২ কেভি গ্রিড লাইনের ত্রুটিতে ব্রাহ্মণবাড়িয়ার আশুগঞ্জ তাপবিদ্যুৎ কেন্দ্রের ২২৫ মেগাওয়াট ক্ষমতা সম্পন্ন এক ইউনিটের উৎপাদন বন্ধ হওয়ায় অন্তত সাতটি জেলায় বিদ্যুৎ সরবরাহ বন্ধ হয়ে যায়। জেলাগুলোর মধ্যে রয়েছে ব্রাহ্মণবাড়িয়া, কিশোরগঞ্জ, নরসিংদী, সিলেট, মৌলভীবাজার, হবিগঞ্জ ও সুনামগঞ্জ।আশুগঞ্জ তাপ বিদ্যুৎ কেন্দ্রের ব্যবস্থাপনা পরিচালক সাজ্জাদুর রহমান সাংবাদিকদের জানান, আশুগঞ্জ-ঘোড়াশাল ২৩২ কেভি গ্রিডলাইনে ত্রুটির কারণে বেশ কয়েকটি জেলায় বিদ্যুৎ সরবরাহ বন্ধ হয়ে যায়। পাশাপাশি আশুগঞ্জ বিদ্যুৎ কেন্দ্রের ২৫০ মেগাওয়াট ক্ষমতাসম্পন্ন একটি ইউনিটে বিদ্যুৎ উৎপাদন বন্ধ হয়ে যায়।জানা যায়, আশুগঞ্জ-ঘোড়াশাল ২৩২ কেভি গ্রিড লাইনের আশুগঞ্জ সাবস্টেশনে ত্রুটি দেখা দেয় ফলে ২৫০ মেগাওয়াট ক্ষমতাসম্পন্ন কেন্দ্রটি তাৎক্ষণিকভাবে বন্ধ হয়ে যায়।পিজিসিবির জনসংযোগ শাখার কর্মকর্তা বদরুদ্দোজা সুমন জানান, আশুগঞ্জ পাওয়ার স্টেশনের একটি ট্রান্সফরমার বিকল হয়ে যাওয়ার কারণে ফেঞ্চুগঞ্জ -শ্রীমঙ্গল গ্রিড লাইনে এবং ওভার লোডের কারণে ওই লাইনটি ট্রিপ করে যায়। যার ফলে ওই অঞ্চলের কয়েকটি জেলা বিদ্যুৎ বিচ্ছিন্ন হয়ে পড়ে এবং এটা ঠিক করতে ২/৩ ঘণ্টা প্রয়োজন।অন্যদিকে এই বিপর্যয়ের কারণে ঢাকা, চট্টগ্রাম, সিলেট, ময়মনসিংহসহ দেশের বিভিন্ন এলাকার বিঘ্নিত হচ্ছে মোবাইল ফোন সেবাও। সমস্যা সমাধানে বিআরটিসির ভাইস চেয়ারম্যান জানান বিদ্যুৎ বিভ্রাটের কারণে এমন সমস্যা হয়েছে। এজন্য বিদ্যুৎ আসা পর্যন্ত অপেক্ষা করতে হবে।"
NATIONAL_GRID,NATIONAL_GRID_B,"জাতীয় গ্রীড বিপর্যয়ের কারণে গরমের মধ্যে বিদ্যুৎ-পানি না পাওয়ার কষ্টের মধ্যে খাবার নিয়েও দুশ্চিন্তার কথা জানানন সাধারণ জনগণ। এক মাসের ব্যবধানে দ্বিতীয় বার গ্রিড বিপর্যয়ে দেশের বিশাল এলাকা অন্তত ছয় ঘণ্টা বিদ্যুৎহীন থাকে। দুর্গাপূজার মতো উৎসবের মধ্যে এই ধরনের বিপর্যয় জনদুর্ভোগ তুলেছিল চরমে।দীর্ঘক্ষণ চলা জেনারেটরের তেল ফুরিয়ে ঢাকার আবাসিক ও বাণিজ্যিক ভবনগুলো আলোহীন হয়ে পড়ে, দেখা দেয় পানির সঙ্কট, টাকা তোলা যাচ্ছিল না এটিএম বুথ থেকে। বাতি না জ্বলায় ও পাখা না ঘোরায় হাসপাতালের রোগীদের কষ্ট বেড়েছিল। কী কারণে কোথায় বিদ্যুতের জাতীয় সঞ্চালন লাইনে ত্রুটি দেখা দেয়, বিদ্যুৎ বিভাগের দায়িত্বশীল কর্মকর্তাদের সাথে যোগাযোগ করেও তা নিশ্চিত হওয়া যায়নি।এর আগে গত ৭ সেপ্টেম্বর জাতীয় গ্রিডের একটি সঞ্চালন লাইনে বিভ্রাট দেখা দিলে রাজশাহী, খুলনা, বরিশাল বিভাগসহ দেশের বিশাল এলাকা ৪০ মিনিট থেকে দেড় ঘণ্টা বিদ্যুৎহীন থাকে।তার ২৩ দিন পর মঙ্গলবার দুপুরে সঞ্চালন লাইন আবার অকার্যকর হয়ে পড়ে।যার ফলে জাতীয় গ্রিডের পূর্বাঞ্চলের বিদ্যুৎ সরবরাহ ব্ন্ধ হয়ে যায়।এর পর থেকেই বিদ্যুৎ প্রতিমন্ত্রী নিজের ফেইসবুক পাতায় বিদ্যুৎ বিপর্যয়ের জন্য দুঃখ প্রকাশের পাশাপাশি পরিস্থিতির উন্নতি হওয়ার খবর দিয়ে যান।এছাড়া বিদ্যুৎ বিভাগকে আরও দুটি তদন্ত কমিটি গঠনের নির্দেশ দেয়া হয়।চলতি মাসের শুরুতে বিদ্যুত বিপর্যয়ের ঘটনায় পিজিসিবি দুই প্রকৌশলীকে দায়িত্বে ‘অবহেলার’ অভিযোগে সাময়িক বরখাস্ত করা করেছে।"
NEPAL PLANE CRASH,NEPAL PLANE CRASH_A,"১৫ জানুয়ারি ২০২৩ তারিখের রিপোর্ট অনুযায়ী নেপালের পোখরায় ৬৮ আরোহী ও চারজন করু নিয়ে বিমান বিধ্বস্ত হওয়ার পর ৪৪ জন উদ্ধার হয়েছে । বিমানটি কাঠমুন্ডু থেকে উডয়নের ২০ মিনিটের মাথায় আঁচড়ে পড়ে মাটিতে। যান্ত্রিক ত্রুটির কারণেই দুর্ঘটনাটি ঘটেছে । বিমানটিতে পাঁচজন ভারতীয় , চারজন রুশ, দুজন দক্ষিণ কোরিয়া আয়ারল্যান্ড অস্ট্রেলিয়া ফ্রান্স ও আর্জেন্টিনা করে । মোট ৭২ আরোহীর মধ্যে ৬৮ জনের লাশ উদ্ধার হয়েছে , বাকি চারজন নিখোঁজ রয়েছেন । "
NEPAL PLANE CRASH,NEPAL PLANE CRASH_B,"স্থানীয় বাসিন্দাদের অনেকেই উড়োজাহাজটি আছে পড়ার দৃশ্য দেখেছেন, শুনতে পেয়েছেন বিস্ফোরণের শব্দ । অল্পের জন্য প্রাণীর রক্ষা পাওয়া গীতা বলেন, উড়োজাহাজটি তাদের বাড়ির আরেকটি কাছে পড়লেই বসতি এলাকা ক্ষতিগ্রস্ত হতো । নেপালের পোখরা মেট্রোপলিটন সিটির শার্ট এর ঘাড়ি পাতানে সাড়ে দশটার দিকে বিমানটি বিধ্বস্ত হয়। ভিডিওটি একটি বাড়ির ছাদে দাঁড়িয়ে তুলেছেন এক ব্যক্তি,। তাতে দেখা যায়, মাছ আকাশেই নিয়ন্ত্রণ হারায় বিমানটি গাড়ি চিহ্ন তারপর প্রায় উল্টে যায়। এর কিছুক্ষণের মধ্যেই ভয়ংকর শব্দ শোনা যায়। এই দুর্ঘটনায় জীবিত উদ্ধার হয়েছেন যারা তাদের আঘাত গুরুতর ।"
OBAMA,OBAMA_A,"৪ নভেম্বর ২০১৭ তারিখের পত্রিকা অনুযায়ী জানুয়ারিতে আমেরিকার প্রেসিডেন্ট বারাক ওবামা তার মেয়াদের দায়িত্ব পুরো করে নাগরিক হিসেবে নতুন দায়িত্ব পালনের ডাক পেয়েছেন বিচারক পদে । ইলিয়ন অঙ্করাজ্যের কুক কাউন্টিতে বিচারক হবার জন্য যে যোগ্যতা দরকার অর্থাৎ ডিগ্রী , অভিজ্ঞতা সবই রয়েছে তার । এর আগে এই পদে উল্লেখযোগ্য বিচারক ছিলেন অপরাহ উইনফ্রের । এরপর ১৪ই মার্চ ২০২২ তারিখে পত্রিকায় প্রকাশিত হয় বারাক ওবামা করোনাভাইরাসে সংক্রমিত হয়েছেন । তার স্ত্রী অবশ্য করোনা নেগেটিভ ছিলেন । ওবামা ষাট বছর বয়সে হাওয়াই থেকে ওয়াশিংটন ডিসিতে ফেরার পর করনায় আক্রান্ত হন। এরপর ২৯ অক্টোবর ২০২২ তারিখের খবর অনুযায়ী যুক্তরাষ্ট্রের মধ্যবর্তী নির্বাচন হবে ৮ নভেম্বর । এই নির্বাচনের মাধ্যমে গণতন্ত্র হুমকির মুখে পড়তে যাচ্ছে বলে মন্তব্য করেছেন ওবামা । তিনি জার্জিয়া জনসমাবেশে জোর গলায় গণতন্ত্রের বিরুদ্ধে ষড়যন্ত্র রুখতে চেয়েছেন । এরপর ৯ জানুয়ারি ২০২৩ তারিখের খবর অনুযায়ী ওবামা ফাউন্ডেশন ২০২৩-২৪ শিক্ষাবর্ষের স্কলারস প্রোগ্রাম শুরু হয়েছে । এতে স্পষ্টভাবে প্রোগ্রামের মেয়াদ , আবেদনের যোগ্যতা , প্রয়োজনীয় কাগজপত্র , সুযোগ-সুবিধা এবং আবেদনের শেষ তারিখ উল্লেখ করা হয়েছে ।"
OBAMA,OBAMA_B,"৭ এপ্রিল ২০১৯ তারিখের খবর অনুযায়ী বারাক ওবামা ইউরোপের তরুণদের জলবায়ুকে সুরক্ষিত করার আন্দোলনের প্রশংসা করেছেন ।১৪ হাজার দর্শকের সামনে কোলোনের ওয়ার্ল্ড লিডারশিপ সামিটে। ওবামা তরুণদের অনুরোধ জানিয়েছেন যেকোন নির্বাচনে বৈশ্বিক তাপমাত্রা রোধে প্রয়োজনীয় সিদ্ধান্ত নেয়ার জন্য তাদের এগিয়ে আসতে হবে । ওবামা ৩০০ তরুণের সঙ্গে জলবায়ু , নাগরিক সমাজ , খাদ্য নিরাপত্তা ও সমসাময়িক বিষয় নিয়ে ও আলোচনা করেছেন । এরপর ৩১ মে ২০২০ তারিখে ওবামা গ্রাজুয়েশনের সমাবর্তনে ওবামা বলেছেন গ্র্যাজুয়েশন হলো জীবনের সেরা অর্জনের একটি । এটি হলো পরিণত জীবনের দিকে পা বাড়ানোর প্রথম ধাপ । তিনি বলেন নানান ধরনের প্রতিকূল পরিবেশ এবং মহামারীর বিরূপ প্রভাব থাকা সত্ত্বেও তোমাদের আগেই পরিণত হতে হবে । তিনি বলেন প্রথমত ভয় পেয়ো না দ্বিতীয়ত নিজের মন যেটা সায় দেয় সেটা কর । তৃতীয়তঃ মৌলিক আদর্শের চর্চা করবে নিজের গণ্ডি গড়ে তোল , সকলে একত্রে কাজ করতে হবে । এরপর ৪ সেপ্টেম্বর ২০২২ তারিখের রিপোর্ট অনুযায়ী বারাক ওবামা এমি অ্যাওয়ার্ড জিতলেন এবং তিনি এ গট উপাধি পেলেন । বিশ্বের সফল দাম্পত্তিদের তালিকায় শুরুর দিকেই থাকতেন ওবামা ও মিশেল ওবামা । মিশেলের ভাষ্যমতে সম্পর্কে তিনি দিয়েছেন ৭০ ভাগ , বারাক ৩০ ভাগ।"
PADMA_BRIDGE,PADMA_BRIDGE_A,"পদ্মা সেতু দক্ষিণ থানার ভারপ্রাপ্ত ওসি শেখ মোহাম্মদ মোস্তাফিজুর রহমান জানান, নবনির্মিত ইলিশের ভাস্কর্য পানির ফোয়ারা পদ্মা সেতু দেখতে ঈদের পরের দিন অনেক মানুষ ভিড় করছে জাজিরা প্রান্তে। এছাড়াও পদ্মা সেতুর ১০.৫ কিলোমিটার সংযোগ সড়ক ও সেনানিবাস এলাকায় বিভিন্ন ফুলের গাছ রয়েছে সেখানেও মানুষের উপস্থিতি লক্ষ্য করা গেছে।তাদের মাঝে চুয়াডাঙ্গার ৪০ জনের একটি শ্রমিকের দল ছিল।পরিবার নিয়ে ঘুরতে এসেছেন চট্টগ্রামের লোহাগাড়ার বাসিন্দা আরমান খান, তিনি বলেন, পদ্মা সেতুর কারণে যোগাযোগ অনেক সহজ হয়েছে। এ ছাড়াও টাঙ্গাইলের একটি কলেজের ৪০ শিক্ষার্থী এসেছিল। তারা পদ্মা সেতু দেখতে পারে অনেক উচ্ছ্বসিত।বরিশালের আগৈলঝাড়ার বাসিন্দা হুমায়ুন কবীর হুমায়ুন কবীর বিয়ে করেছেন ৩০ শে জুন এবং তিনিও স্ত্রীর সাথে পদ্মা সেতু ভ্রমণে এসেছেন। এছাড়াও  গাজীপুরের শ্রীপুর থেকে দুটি বাসে করে 80 জনের একটি দল এসেছেবাংলাদেশের সেতু কর্তৃপক্ষ জানায়, ২০১৪ সালে পদ্মা সেতুর কাজ শুরু হওয়ার সময় থেকে মানুষের মাঝে রকম উত্তেজনা বিরাজ করছে।এমনকী শরীয়তপুর থেকে একটি বিদ্যালয়ের শিক্ষার্থীরা ট্রলারে করে এসেছেন পিকনিক করতে।নাওডোবার বাসিন্দা ইসমাইল হোসেন পদ্মা নদীতে ট্রলার চালান। তিনি প্রথম আলোকে জানান, আগে ফেরিতে করে মানুষ পারাপার হলেও নতুন পদ্মাসেতু হয়। অনেকেই নৌপথে তা দেখতে আসছেন। এতে করে পদ্মা সেতুর দুপাশে মেলার সৃষ্টি হয়েছে।একটি বেসরকারি বিশ্ববিদ্যালয়ের ছাত্রদের একজন বলেন হঠাৎ পরিকল্পনাতেই তারা এখানে ঘুরতে এসেছেন। সাধারণ মানুষকে পদ্মা সেতু দেখাতে উদ্যোগ নিয়েছে সিটি করপোরেশন সপ্তাহে দুদিন ২৯ আসন করে ৫৮ আসনের দুটি এসি ট্যুরিস্ট কোস্টারে তারা যাত্রীদের নিয়ে পদ্মা সেতুতে যাবেন এবং জন প্রতি খরচ ৯৯৯ টাকা।‘স্বপ্নের পদ্মা সেতু ভ্রমণ’ শীর্ষক প্যাকেজ ট্যুরটি আনুষ্ঠানিকভাবে উদ্বোধন করবেন বেসামরিক বিমান পরিবহন ও পর্যটন প্রতিমন্ত্রী মাহবুব আলী এবং পর্যটকদের কাছ থেকে ভালোই সারা পাওয়া যাচ্ছে বলে তাঁরা জানিয়েছেন। প্রথম দিনে সাত জন শিক্ষার্থী যাত্রী পাওয়া গেছে 29 জুলাই পর্যন্ত টিকিট বুকিং হয়ে আছে।"
PADMA_BRIDGE,PADMA_BRIDGE_B,"পদ্মাসেতু মংলা সুমন্দ্রবন্দরের জন্য খুলে দিয়েছে সম্ভাবনার নতুন দুয়ার।নির্মানের পর থেকেই মংলা সমুদ্র বন্দর ব্যাবহার হয়ে আসছে আমদানির ক্ষেত্রে।২০২১-২২ অর্থবছরে মে পর্যন্ত মংলা বন্দর থেকে  রপ্তানি হয়েছে ১ লাখ ৪৬ হাজার ৭৪৬ মেট্রিক টন। এর বিপরীতে আমদানি ৬৯ হাজার ৬৫৪ মেট্রিক টন। এদিকে বঙ্গবন্ধুর সমাধিতে ফুল দিতে না পারে পদ্মা নদীতে ঝাঁপ দিয়েছেন মোহাম্মদ নূরুজ্জামান নামে এক পোশাক শ্রমিক। পরে এক ভিডিও বার্তায় তিনি এ বিষয়ে ক্ষোভ জানান।পদ্মা সেতুর উদ্বোধনের ফলে দক্ষিন অঞ্চলে নৌ রুটে যাত্রি সংখ্যা কমে গেছে।প্রধানত পদ্মা সেতুর ফলে দেশের দক্ষিন অঞ্চ লে যাতায়াত সহযলভ্য হওয়ায় এবং দ্রুততম সময়ে যাতায়াতেরর জন্য সবাই স্থলপথ বেছে নিতে শুরু করেছে।এখন যেখানে ৮০-৯০ টি লঞ্চ ও ১৫০টির মত স্পিটবোট চলাচল করত সেখানে এখন লঞ্চ চলাচল করছে ৫০-৬০ টি।পদ্মা সেতু চালুর প্রথমদিন প্রথম দিন মোটরসাইকেল চলাচলের অনুমতি ছিল। পরে সেতুতে মোটরসাইকেল চলাচল নিষিদ্ধ করা হয়।সেতু কর্তৃপক্ষের হিসাব অনুযায়ী, ২৬ জুন থেকে ২৮ আগস্ট পর্যন্ত ৬৪ দিনে পদ্মা সেতু দিয়ে দিনে গড়ে যানবাহন পারাপার হয়েছে ১৬ হাজার ৮৯৯টি।যা দিয়ে আয় হয়েছে ১৪৫ কোটি টাকা। অনেকে ববলছেন আয় বেশি হলেও এখনই সেতু থেকে মুনাফা হবে না। তবে, ২০১৯ সালে অর্থ মন্ত্রণালয়ের সঙ্গে করা চুক্তি অনুসারে, প্রথম বছর মন্ত্রণালয়কে ঋণের কিস্তি পরিশোধ করার কথা প্রায় ৬০০ কোটি টাকা। অর্থাৎ, মুনাফা দূরে থাক, অর্থ মন্ত্রণালয়ের কিস্তির পুরো টাকাই শোধ করা যাবে না।"
